"ID","Priority","Audience","Visible when","File","Line","Channel","Prints","Log text","Flagged terms","Why it confuses","Suggested text","Action","Brendan feedback","Decision"
"A9","High","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","1767","LogInfo","once per file (82 of 369 lines in the SEA-AD log)","Loaded {0} FDR stubs (features not loaded - not read on this path)","stubs","'stubs' and 'path' are code words; the parenthetical is a note to a future developer. Decided: one progress heading in this wording replaces the per-file lines.","Loading FDR values from intermediate files for 82 files...","one progress heading replaces the per-file lines; per-file detail behind --verbose","",""
"A15","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","3252","LogInfo","once per run","First-pass: {0} of {1} file(s) had their sidecar written during pass 1, so pass 2 read those scores back instead of reloading features.","sidecar","'pass 1 / pass 2' here are two internal score passes inside first-pass FDR, not the pipeline's first and second pass.","(none)","gate behind --verbose","",""
"A16","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2152","LogInfo","once per run","Wrote experiment-scope FDR sidecar: {0} ({1} distinct entry ids)","sidecar; entry/entries","'We saved an internal file' lines naming files the user is not expected to open.","(none)","gate behind --verbose","",""
"A16","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2347","LogInfo","once per run","Wrote analysis-wide retained base_id summary: {0} base_id(s) across {1} run(s)","survivor/retained set; base_id","'We saved an internal file' lines naming files the user is not expected to open.","(none)","gate behind --verbose","",""
"A16","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2822","LogInfo","once per run","Persisted the protein-compact stratum ({0} file sidecar(s)).","sidecar; compaction; stratum","'We saved an internal file' lines naming files the user is not expected to open.","(none)","gate behind --verbose","",""
"A16","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","3446","LogInfo","once per run","Persisted the trained 1st-pass model ({0} file sidecar(s)); a run interrupted after this point resumes without retraining.","sidecar","Useful fact (resume point) wrapped in 'sidecar'.","Saved the first-pass model as an intermediate file beside each input; an interrupted run resumes from here without retraining.","rewrite","",""
"A16","Medium","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","1556","LogInfo","once per run","Wrote experiment-scope FDR sidecar: {0} ({1} distinct entry ids)","sidecar; entry/entries","'We saved an internal file' lines naming files the user is not expected to open.","(none)","gate behind --verbose","",""
"A17","Medium","user","default (every run)","Osprey.Scoring/ScoringPipeline.cs","485","LogInfo","once per file","Double-counting deduplication: removed {0} entries ({1} targets, {2} decoys; {3} remaining)","entry/entries","'Double-counting' names the bug the step prevents, not what was removed.","Removed 2,081 duplicate candidates picked at the same retention time in overlapping isolation windows (1,167 targets, 914 decoys); 482,891 remain.","rewrite","",""
"A18","Medium","user","default (every run)","Osprey.Tasks/Stage6Planner.cs","263","LogInfo","once per run","Reconciliation multi-charge consensus: {0} entries need re-scoring across {1} files","entry/entries","Says what was computed but not what for; 'consensus' needs 'cross-run' and 'peak boundaries'.","Cross-run consensus: peak boundaries agreed for 30,846 target and 30,832 decoy peptides; 22,037 additional charge states will be re-scored.","rewrite","",""
"A18","Medium","user","default (every run)","Osprey.Tasks/Stage6Planner.cs","312","LogInfo","once per run","Reconciliation consensus: {0} target peptides, {1} decoy peptides","","Says what was computed but not what for; 'consensus' needs 'cross-run' and 'peak boundaries'.","Cross-run consensus: peak boundaries agreed for 30,846 target and 30,832 decoy peptides; 22,037 additional charge states will be re-scored.","rewrite","",""
"A19","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2723","LogInfo","once per pass","Released library fragments for {0} of {1} entries ({2} base_ids retained for rescore + gap-fill)","entry/entries; survivor/retained set; base_id; use_cwt/forced/gap-fill/actions","Memory bookkeeping.","(none)","gate behind OSPREY_LOG_MEMORY","",""
"A19","Medium","user","default (every run)","Osprey.Tasks/PipelineByproducts.cs","126","LogInfo","once per run","Sequence pool: {0} distinct seeded from the library, {1} sidecar lookup(s) missed it","sidecar","Memory bookkeeping.","(none)","gate behind --verbose","",""
"A19","Medium","user","default (every run)","Osprey.Tasks/PipelineContext.cs","371","LogInfo","once per task boundary","[DROP] Released {0} byproduct(s) at the task boundary; the library stays resident.","resident; byproduct/interned/parquet","Memory bookkeeping ('byproduct', 'resident').","(none)","gate behind OSPREY_LOG_MEMORY","",""
"A19","Medium","user","default (every run)","Osprey.Tasks/SecondPassFdrTask.cs","971","LogInfo","once per pass","Released library fragments for {0} of {1} entries ({2} base_ids retained for the reported pool)","entry/entries; survivor/retained set; base_id","Memory bookkeeping.","(none)","gate behind OSPREY_LOG_MEMORY","",""
"A20","Medium","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","213","LogInfo","once per second-pass run","{0}/{1} file(s) have no precomputed second-pass FDR scores - computing them here from the reconciled features (reused distributed-run code path).","","The normal case for a straight-through run, phrased as a fallback with a parenthetical aimed at a code reviewer.","Computing second-pass FDR scores for 82 files.","rewrite","",""
"A20","Medium","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","2139","LogInfo","once per second-pass run","Second-pass fold reading the worker's written answer for all {0} file(s); no 1st-pass sidecar is opened.","sidecar; fold (verb); worker/fan-out/join","HPC provenance notes ('fold', 'worker's answer').","(none)","gate behind --verbose","",""
"A20","Medium","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","2145","LogInfo","once per second-pass run","Second-pass fold has a worker answer for {0} of {1} file(s); the remaining {2} are RECOMPUTED from their 1st-pass sidecars. A node given complete worker output would open none.","sidecar; fold (verb); worker/fan-out/join","HPC provenance notes ('fold', 'worker's answer').","(none)","gate behind --verbose","",""
"A21","Medium","user","default (every run)","Osprey.FDR/PercolatorScorer.cs","896","LogInfo","once per second-pass run","Reusing the persisted first-pass model; no training subset is loaded and no SVM is trained.","","Three variants of the same fact. 'Frozen' / 'no retraining' describe what the code no longer does; dropped from user text.","Reusing the saved first-pass model.","rewrite (one line) / gate the others behind --verbose","",""
"A21","Medium","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","470","LogInfo","once per second-pass run","Reloaded persisted 1st-pass model sidecar for frozen 2nd-pass (pass-1 experiment aggregation: {0}).not recorded","sidecar; frozen","Three variants of the same fact. 'Frozen' / 'no retraining' describe what the code no longer does; dropped from user text.","Reusing the saved first-pass model.","rewrite (one line) / gate the others behind --verbose","",""
"A21","Medium","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","479","LogInfo","once per second-pass run","Reloaded the persisted protein-compact stratum ({0} base ids).","compaction; base_id; stratum","Three variants of the same fact. 'Frozen' / 'no retraining' describe what the code no longer does; dropped from user text.","Reusing the saved first-pass model.","rewrite (one line) / gate the others behind --verbose","",""
"A22","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","1074","LogInfo","once per run","Per-run rescore: FirstPassFDR publishes the survivor loader only; no experiment-wide bundle is built for {0} run(s).","survivor/retained set; bundle/envelope; code identifier","Records the memory strategy in design-doc vocabulary; PerFileScoringTask.cs:1776 prints a consumer type name.","Re-scoring 82 runs one at a time.","rewrite (one line) / gate the rest behind --verbose","",""
"A22","Medium","user","default (every run)","Osprey.Tasks/PerFileRescoreTask.cs","2042","LogInfo","once per run","Per-run rescore: hydrating each of {0} run(s) from its own artifacts (no all-runs pre-load; {1} retained base_id(s) read once).","survivor/retained set; base_id; hydrate","Records the memory strategy in design-doc vocabulary; PerFileScoringTask.cs:1776 prints a consumer type name.","Re-scoring 82 runs one at a time.","rewrite (one line) / gate the rest behind --verbose","",""
"A22","Medium","user","default (every run)","Osprey.Tasks/PerFileRescoreTask.cs","2172","LogInfo","once per run","Second-pass join: folding over {0} run(s), each rebuilt from its own reconciled parquet and dropped (no all-runs survivor pool). {1} of {0} run(s) carry a current reconciled parquet; a run without one is an error, not a run that keeps its 1st-pass boundaries.","survivor/retained set; fold (verb); worker/fan-out/join; byproduct/interned/parquet","Records the memory strategy in design-doc vocabulary; PerFileScoringTask.cs:1776 prints a consumer type name.","Re-scoring 82 runs one at a time.","rewrite (one line) / gate the rest behind --verbose","",""
"A22","Medium","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","1808","LogInfo","once per run","{0} run(s) will be hydrated one at a time by {1}; no all-runs pre-load.","hydrate","Records the memory strategy in design-doc vocabulary; PerFileScoringTask.cs:1776 prints a consumer type name.","Re-scoring 82 runs one at a time.","rewrite (one line) / gate the rest behind --verbose","",""
"A23","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","508","LogInfo","once per run","Running {0} FDR control on coelution results...","","Prints the FdrMethod enum in lower case.","Running Percolator FDR control on the scored candidates...","rewrite","",""
"A23","Medium","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","485","LogInfo","once per run","Coelution analysis complete. {0} total scored entries across {1} files","entry/entries","'coelution' stays (known DIA term; Skyline has a coelution score). 'entries' is never defined; this is the line where 'precursor candidates' would land.","Coelution scoring complete: 1,448,698 precursor candidates (targets + decoys) scored across 3 files.","rewrite","",""
"A23","Medium","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","580","LogInfo","once per run","Coelution analysis complete. {0} total scored entries across {1} files","entry/entries","'coelution' stays (known DIA term; Skyline has a coelution score). 'entries' is never defined; this is the line where 'precursor candidates' would land.","Coelution scoring complete: 1,448,698 precursor candidates (targets + decoys) scored across 3 files.","rewrite","",""
"A23","Medium","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","878","LogInfo","once per run","Coelution analysis complete. {0} total scored entries across {1} files","entry/entries","'coelution' stays (known DIA term; Skyline has a coelution score). 'entries' is never defined; this is the line where 'precursor candidates' would land.","Coelution scoring complete: 1,448,698 precursor candidates (targets + decoys) scored across 3 files.","rewrite","",""
"A24","Medium","user","default (every run)","Osprey.Tasks/Calibrator.cs","586","LogInfo","per file, conditional","Refinement pass skipped: pass 1 used a linear fit ({0} points); narrowing the window from it would be self-confirming.","","'self-confirming' is a design note.","RT calibration refinement skipped: the first pass was a linear fit over N points, so a narrower window would only re-find the same points.","rewrite","",""
"A24","Medium","user","default (every run)","Osprey.Tasks/Calibrator.cs","636","LogInfo","per file, conditional","Refined calibration is a linear fit over {0} points that fails the span/plausibility guards, keeping original calibration","","'guards' is code vocabulary.","Refined RT calibration rejected: a linear fit over N points spans too little of the gradient. Keeping the first calibration.","rewrite","",""
"A25","Medium","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2000","LogInfo","--task runs"," --task FirstPassFDR: Stage 5 + reconciliation planning complete; wrote {0} reconciliation.json + matching fdr_scores.bin sidecar pair(s). Exiting before Stage 6 rescore.","sidecar; Stage N; code identifier","Stage numbers and 'sidecar pair(s)'."," --task FirstPassFDR complete: first-pass FDR and reconciliation planning done for 3 files; the next task (PerFileRescoring) reads the intermediate .reconciliation.json and .1st-pass.fdr_scores.bin files beside each input.","rewrite","",""
"A25","Medium","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","963","LogInfo","--task runs"," --task PerFileScoring: Stage 1-4 complete. {0} entries scored across {1} file(s). Per-file `.scores.parquet` written next to each input mzML. Skipping FDR and blib output.","entry/entries; Stage N; byproduct/interned/parquet","Stage numbers are not documented anywhere the operator sees."," --task PerFileScoring complete: 1,448,698 candidates scored across 3 files; intermediate .scores.parquet written beside each input. FDR and .blib output are left to the next task.","rewrite","",""
"A31","Medium","user","default (every run)","Osprey/Program.cs","266","LogInfo","startup, when an input mzML is absent","{0} of {1} input(s) are absent and have no spectra cache; reading those from their scores parquet, which is what a task after Stage 4 needs.","Stage N; byproduct/interned/parquet; code identifier","New in #4646, replacing --input-scores. 'Stage 4' is internal numbering; 'scores parquet' names the file format rather than what it holds.","{0} of {1} input file(s) are not present; using the intermediate scores file written beside each one.","rewrite","",""
"A26","Low","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","1294","LogInfo","resume","Resume rehydrate: streaming the first-pass bundle from {0} file(s) (one file's pre-compaction pool resident at a time).","compaction; hydrate; bundle/envelope; resident","'rehydrate', 'bundle', 'pre-compaction pool resident'.","Resuming: reloading first-pass intermediate files for N files.","rewrite","",""
"A26","Low","user","--model-diagnostics","Osprey.Tasks/FirstPassFdrTask.cs","3094","LogInfo","resume","Resume: all {0} sidecars and the experiment sidecar are current - skipping the score passes, protein FDR and model diagnostics, and entering at the compaction gate.","sidecar; compaction","'compaction gate'.","Resuming: first-pass intermediate files for all N files are up to date; skipping first-pass scoring and protein FDR.","rewrite","",""
"A26","Low","user","default (every run)","Osprey.Tasks/PerFileRescoreTask.cs","419","LogInfo","resume","Rescore resume: {0} of {1} run(s) already carry a current 2nd-pass sidecar; re-scoring the remaining {2}.","sidecar","Already close; 'sidecar'.","Resuming: N of M runs already have second-pass intermediate files; re-scoring the remaining K.","rewrite","",""
"A27","Low","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","96","LogInfo","only with OSPREY_PASS2_QVALUE=transfer","OSPREY_PASS2_QVALUE={0}: pass-2 carries the pass-1 q through and re-maps ONLY the per-run q of reconciliation-moved peaks (frozen 1st-pass model + each file's own score->run-q table); experiment q is frozen by the best-peak anchor, no retrain.","frozen; OSPREY_* env var","Opt-in via env var, so naming it is right; the sentence is a design rationale.","Second-pass FDR (transfer mode): first-pass q-values are kept; only peaks moved by cross-run reconciliation get a new run-level q-value.","rewrite","",""
"A27","Low","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","2967","LogInfo","only with OSPREY_PASS2_QVALUE=transfer","OSPREY_PASS2_QVALUE=transfer: per-run q transfer over {0} file(s) -- {1} unchanged (pass-1 q carried), {2} moved (run q re-mapped, experiment q carried), {3} gap-fill (new run q + carried experiment q){4}{5}.; {0} file(s) had no readable 1st-pass sidecar; {0} entr(y/ies) skipped for missing features","sidecar; use_cwt/forced/gap-fill/actions; OSPREY_* env var","Opt-in via env var, so naming it is right; the sentence is a design rationale.","Second-pass FDR (transfer mode): first-pass q-values are kept; only peaks moved by cross-run reconciliation get a new run-level q-value.","rewrite","",""
"A28","Low","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","311","LogInfo","--task ModelDiagnostics"," --task ModelDiagnostics: folding the first pass from {0} run(s), one run resident at a time (no rescore bundle, no survivor pool).","survivor/retained set; fold (verb); bundle/envelope; resident","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
"A28","Low","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","362","LogInfo","--task ModelDiagnostics","FirstPassFDR: not folding diagnostics from completed work - {0} is {1}, so the first pass is re-run.present but not current for this analysismissing","fold (verb)","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
"A28","Low","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","481","LogInfo","--task ModelDiagnostics","FirstPassFDR: every output but the model-diagnostics product is current; folding the report from the completed first pass.","fold (verb)","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
"A28","Low","user","default (every run)","Osprey.Tasks/SecondPassFdrTask.cs","324","LogInfo","--task ModelDiagnostics","SecondPassFDR: every output but the model-diagnostics product is current; folding the pass-2 report from the completed second pass.","fold (verb)","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
"A28","Low","user","default (every run)","Osprey.Tasks/SecondPassFdrTask.cs","640","LogInfo","--task ModelDiagnostics","SecondPassFDR: not folding diagnostics from completed work - {0} is {1}, so the second pass is re-run.present but not current for this analysismissing","fold (verb)","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
"A28","Low","user","default (every run)","Osprey.Tasks/SecondPassFdrTask.cs","746","LogInfo","--task ModelDiagnostics","SecondPassFDR: folding the second pass from {0} run(s), one run resident at a time (no second-pass FDR, no protein FDR, no blib).","fold (verb); resident","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
"A28","Low","user","default (every run)","Osprey/Program.cs","454","LogInfo","--task ModelDiagnostics","{this}analysis; folding it from the completed artifacts. No analysis is re-run - each pass produces its own report from its own sidecars, and every other output is left as it stands.","sidecar; fold (verb)","Seven variants of 'the report is being built from saved results' in different words ('product', 'folding', 'artifacts')."," --task ModelDiagnostics: building the report from the completed analysis. Nothing is re-run and no other output changes.","rewrite (one wording)","",""
